ein,ntmaj10
141875888,HU
141877381,HU
141878083,HU
141878401,HU
141880319,ED
141881040,ED
141882967,ED
141884219,ED
141884382,HU
141885706,HU
141886698,HE
141888535,HE
141889369,HU
141894421,HE
141894787,HU
141895299,HE
141895828,HU
141903010,HU
141904589,HE
141905430,HU
141905856,HU
141906562,HE
141907795,ED
141910572,ED
141911330,HU
141912168,ED
141912831,ED
141913788,HU
141914620,AR
141916238,HU
141918174,HU
141923320,AR
141926871,HU
141927523,AR
141929926,EN
141935143,HU
141949431,HU
141950978,AR
141952294,AR
141953186,HU
141954238,ED
141958933,HU
141959675,HU
141967736,AR
141967818,ED
141969133,HU
141969556,ED
141970166,HU
141975087,HU
141975097,HU
141975929,HU
141976598,HU
141981647,HE
141981651,HE
141981653,HE
141987666,HU
141993156,AR
141998364,HU
141999434,HU
142002886,ED
142004043,EN
142004783,HU
142005722,HU
142009589,HU
142009874,HU
146222837,HU
146368150,HU
150532257,HE
150543962,ED
150826799,HU
151191339,ED
156024410,ED
161076023,HU
161100839,HU
161414078,AR
161477014,HE
161535133,HE
161571888,HE
161602276,EN
161612095,HE
161614585,HE
161615064,HU
161616384,AR
161616528,HU
161619211,ED
161620250,HE
161620816,ED
161623099,HU
161623171,HU
161623624,HU
161626533,ED
161630571,AR
161632540,HE
161633702,HU
161635261,HU
161636773,AR
161637567,EN
161639107,HE
161639171,HU
161643004,HE
161643395,HU
161644684,HU
161646476,AR
161647092,AR
161647998,HE
161654889,HU
161658105,HE
161659813,EN
161661538,ED
161663348,HU
161665110,ED
161666518,AR
161672491,HE
161672864,HU
161680512,ED
161681133,ED
161681342,AR
161682580,HU
161685974,HU
161687809,HU
161689864,AR
161695527,ED
161696653,HU
161698367,HE
161702654,HU
161703247,ED
161703359,HU
161704757,ED
161710112,ED
161711095,ED
161711544,HU
161712748,HU
161713808,AR
161714740,ED
161725331,HU
161727253,HU
161733701,HE
161734997,ED
161735334,ED
161737286,ED
161742160,EN
161742945,HU
161750406,ED
161750783,HU
161754197,HU
161759519,EN
161760466,AR
161760637,HU
161762389,HU
161764258,HU
161767022,ED
161772290,HU
161774135,AR
161776959,HU
161779280,HU
161780252,AR
166054287,EN
200001916,HU
200011194,EN
200013383,ED
200017440,HU
200017803,HU
200019263,HU
200022324,HU
200023425,HE
200023433,AR
200024715,HU
200026685,ED
200027010,EN
200027153,ED
200028470,AR
200029598,AR
200032904,ED
200034726,EN
200034903,HE
200037516,HU
200037958,HE
200042192,HE
200044783,ED
200045883,ED
200046634,HU
200047259,ED
200050067,HU
200051587,ED
200055483,HU
200060297,HU
200060504,HU
200063447,HU
200065463,HE
200065799,HE
200066580,EN
200067309,HU
200068938,HU
200081259,ED
200082964,HU
200085574,ED
200088838,HU
200090179,HE
200091787,HU
200091844,HE
200091902,HE
200093383,HU
200097140,HE
200099034,HU
200100667,ED
200106268,HE
200106546,HE
200113439,HU
200115863,ED
200117128,HU
200117193,HU
200117250,ED
200118546,HU
200124558,HU
200130121,EN
200138059,ED
200138827,HE
200140976,AR
200142663,AR
200145829,HU
200149200,AR
200151437,AR
200151538,HE
200153771,ED
200158429,ED
200158477,AR
200161050,HU
200162962,HU
200164554,ED
200169457,AR
200179335,HU
200185759,HU
200194885,HE
200198449,ED
200205025,ED
200206085,HU
200209481,HU
200212829,AR
200214289,ED
200222334,ED
200223680,ED
200228818,HU
200229429,HU
200231609,EN
200232517,ED
200235666,HU
200241799,HU
200246294,HU
200246423,HU
200247527,HU
200251341,HU
200251343,ED
200252138,HU
200254442,ED
200257235,ED
200265965,ED
200270428,HU
200273697,HU
200274889,HE
200277575,HE
200277642,HU
200278116,ED
200283725,HE
200284018,HE
200285993,EN
200287786,HU
200288693,HU
200289989,ED
200290065,HE
200290749,HU
200292898,EN
200297871,HU
200305960,HU
200306745,ED
200330119,HE
200331656,EN
200335146,ED
200337364,AR
200341602,HE
200346876,HU
200347311,HU
200350545,HU
200354589,HU
200355016,HE
200357098,HU
200359458,HU
200361316,HU
200367521,HU
200371520,AR
200371949,HU
200374857,HU
200379354,HE
200381460,HU
200384120,HU
200385926,HU
200386336,HU
200389710,HU
200393854,AR
200396106,HU
200398109,HU
200399601,ED
200403104,ED
200404721,HU
200405059,HU
200405318,AR
200408139,HU
200413676,HE
200416993,ED
200418496,HU
200419419,HU
200426262,HU
200427427,ED
200428240,HU
200431878,HU
200434161,AR
200441774,HU
200444551,HU
200447019,HU
200457035,HU
200459209,HU
200459806,EN
200460223,HU
200462154,ED
200464012,AR
200464684,HU
200468915,HU
200469854,EN
200471983,HU
200474596,HE
200475511,HU
200476551,ED
200479713,ED
200481972,HU
200491795,HU
200495182,HU
200501584,HU
200503404,HU
200503603,ED
200506117,HU
200507389,HU
200509297,HE
200510288,HU
200510996,HU
200511132,EN
200514996,HE
200515933,HU
200524286,EN
200525835,HU
200529144,AR
200529228,HE
200539388,AR
200547132,HE
200549531,EN
200550426,HU
200555231,HU
200556990,HU
200558929,HU
200566556,HE
200567553,HU
200568843,HU
200569884,HE
200571979,ED
200573336,AR
200573385,HU
200577614,HE
200581295,HU
200581573,ED
200584113,ED
200593113,ED
200594521,ED
200602699,ED
200602743,ED
200603198,HE
200606877,AR
200607362,HU
200609007,AR
200617144,ED
200623308,ED
200645829,HU
200646780,HU
200651555,HE
200652958,AR
200659289,HU
200664132,HE
200669572,ED
200672805,HU
200672875,HU
200672915,HU
200676758,HU
200678012,HE
200679579,HU
200681768,EN
200682870,AR
200683866,ED
200685300,HU
200687109,HE
200687580,HE
200688059,ED
200690119,HU
200691180,EN
200701009,ED
200703517,AR
200709208,AR
200713163,HU
200714055,HU
200716064,ED
200740620,HU
200742147,AR
200744446,HU
200749993,HU
200752241,HU
200752880,ED
200759057,ED
200771774,ED
200772057,HU
200777618,AR
200778542,HU
200780386,ED
200787148,HU
200794475,HE
200795674,ED
200799087,HU
200801828,AR
200802332,AR
200803538,ED
200806940,HU
200809433,HU
200809557,HU
200821265,HU
200822487,ED
200824999,EN
200832347,EN
200845890,HU
200847062,AR
200852818,ED
200854924,HE
200857330,HU
200862024,ED
200862594,HU
200865362,HE
200867520,HE
200870429,HU
200870475,HU
200873655,AR
200881049,HU
200884516,ED
200886106,AR
200887176,ED
200897127,HU
200897282,ED
200898239,HE
200904526,HU
200904691,ED
200908039,ED
200908480,HE
200916545,AR
200917789,AR
200918111,AR
200920471,HU
200924809,AR
200925169,HE
200935796,HU
200936306,HE
200940941,HU
200943512,EN
200944132,HU
200944521,AR
200946375,HU
200956381,AR
200964551,HU
200965767,HU
200966236,EN
200973810,HU
200977147,HE
200977859,ED
200978640,AR
200982590,HE
200984426,HU
200984499,HU
200996949,HE
201003607,HU
201008104,HE
201009450,AR
201011033,ED
201011152,HU
201013894,ED
201017013,HU
201018667,ED
201019674,ED
201020630,HU
201026175,HU
201031815,HU
201033858,ED
201035181,HU
201036224,HE
201040151,HU
201041134,HE
201042507,HU
201044089,HU
201047615,HE
201050517,HU
201055717,ED
201061394,ED
201064671,ED
201065250,EN
201065528,HU
201066102,AR
201067451,HU
201067595,HU
201088440,ED
201089059,HU
201089073,HE
201094092,HU
201095235,HE
201100962,ED
201105326,ED
201105850,HU
201107518,AR
201113180,ED
201116111,HE
201116575,HE
201118762,HU
201123530,HE
201127490,ED
201129120,ED
201130388,HU
201135402,HE
201136003,ED
201136100,ED
201137050,EN
201137318,AR
201146464,AR
201149471,AR
201155620,HU
201155709,HE
201155938,AR
201160490,HU
201160789,EN
201163477,ED
201163755,HE
201165878,HU
201166317,AR
201166801,HE
201169055,EN
201174544,HE
201178381,HE
201179744,HU
201182539,ED
201183464,HE
201184900,ED
201189697,ED
201190350,HU
201190928,HU
201196738,EN
201196879,ED
201197356,HU
201199946,AR
201200065,AR
201205066,ED
201209604,HE
201209718,HU
201211815,HU
201212609,ED
201213527,HU
201214087,ED
201217948,ED
201218432,HU
201220723,HU
201222157,HU
201223574,AR
201224844,ED
201231549,AR
201232493,HE
201232580,HE
201233020,HE
201234521,EN
201236442,AR
201240385,HU
201240627,HE
201241166,AR
201241410,AR
201241919,ED
201242200,EN
201245319,ED
201245449,HU
201245780,AR
201247577,HU
201248290,HU
201258440,ED
201260729,HU
201261050,ED
201261430,AR
201263254,HU
201263648,HU
201268261,AR
201269435,HE
201270189,HU
201270710,HU
201273464,AR
201278410,EN
201278632,AR
201278635,ED
201279759,HE
201283160,HU
201288492,HU
201290489,ED
201294948,EN
201298695,HU
201302887,ED
201303650,HE
201304413,HU
201305631,HU
201310841,AR
201311316,HE
201319801,HU
201322315,HE
201324142,HU
201329143,HE
201331146,ED
201333980,HU
201336340,HE
201337670,ED
201338984,HU
201341648,HU
201341745,ED
201343696,EN
201344935,HU
201346005,HU
201346989,HU
201351162,AR
201353386,HU
201353470,HU
201354316,HE
201354368,HE
201355185,AR
201358742,ED
201359196,HU
201363116,HU
201365874,AR
201366896,HE
201372435,ED
201373422,ED
201374639,AR
201377316,EN
201400176,ED
201403446,ED
201405349,HU
201413661,HE
201414476,ED
201419563,HE
201424418,HU
201425375,HE
201427003,HE
201434623,AR
201434680,EN
201435869,HE
201438543,ED
201440309,AR
201440973,AR
201441110,EN
201442868,HE
201443213,EN
201443730,HU
201449594,HU
201449673,HU
201453359,AR
201454066,ED
201455522,HU
201457009,AR
201457756,HE
201458255,HU
201459415,HE
201460574,HU
201462675,AR
201463810,ED
201467207,ED
201469186,ED
201480579,ED
201486678,HE
201487126,AR
201488316,HU
201492556,HE
201492754,ED
201492898,HU
201493698,AR
201493725,HU
201502806,ED
201502869,AR
201505451,HU
201506961,HU
201507429,HU
201512416,EN
201514800,HU
201515954,HU
201516874,ED
201518941,ED
201519017,HU
201522167,HE
201530384,HU
201534258,HU
201536261,HE
201546107,HU
201547122,HE
201554269,HU
201554581,HU
201556643,HE
201557589,HU
201558700,HU
201559071,AR
201560386,HE
201560679,HE
201571014,ED
201574860,HU
201576354,HE
201579144,ED
201583034,ED
201583293,HU
201584116,ED
201584277,ED
201591493,HE
201592697,ED
201594569,HU
201596237,ED
201597292,HU
201600659,HE
201600679,ED
201601361,ED
201602752,EN
201612590,ED
201612967,HU
201613068,HU
201613345,ED
201614113,HU
201618239,HU
201623406,HU
201624886,AR
201630695,ED
201630777,HU
201631325,HE
201633110,HU
201633684,HU
201634783,HE
201634861,HE
201637325,HU
201640646,ED
201643293,AR
201644028,HU
201645409,ED
201646597,HU
201646631,HE
201651612,AR
201652787,HU
201653134,ED
201653325,ED
201655968,HU
201658253,HE
201661705,HU
201667732,HE
201671910,HU
201672089,HU
201673162,AR
201677474,HU
201682549,HU
201683244,AR
201687320,HE
201690992,HU
201692054,HE
201700623,ED
201704455,HU
201704900,ED
201705075,ED
201714138,EN
201716791,AR
201717920,HE
201734784,HU
201737218,ED
201737328,AR
201738120,HU
201738426,HU
201738713,HE
201738717,HU
201739265,HU
201739426,HU
201740838,HU
201742932,HU
